open_time,open,high,low,close,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-01-16 11:45:00,99039.0,99245.2,98999.1,99107.1,1051.292,518.403,51392934.0517
2025-01-16 12:00:00,99107.1,99265.1,98840.0,99210.3,1870.911,917.689,90890385.5343
2025-01-16 12:15:00,99210.4,99438.4,99125.3,99151.1,2395.365,1050.4,104312447.3674
2025-01-16 12:30:00,99151.1,99479.7,99151.0,99307.6,1407.676,728.277,72327558.7958
2025-01-16 12:45:00,99307.5,99463.3,99212.0,99335.9,1789.433,667.855,66337049.305
2025-01-16 13:00:00,99336.0,99368.8,98797.8,98850.1,2485.206,976.034,96601534.8478
2025-01-16 13:15:00,98850.1,99131.9,98700.0,98745.1,1797.357,901.422,89232388.3245
2025-01-16 13:30:00,98742.0,99384.6,98700.4,99329.5,4173.749,2206.397,218594519.8993
2025-01-16 13:45:00,99329.6,99379.3,99000.1,99030.7,1437.35,560.862,55613451.5464
2025-01-16 14:00:00,99030.7,99120.1,98805.0,99083.9,1520.999,817.348,80868517.1546
2025-01-16 14:15:00,99083.9,99362.2,99077.9,99299.5,1306.267,738.526,73281398.3815
2025-01-16 14:30:00,99299.5,99299.5,98175.2,98228.4,7590.153,3404.861,335718215.5058
2025-01-16 14:45:00,98228.4,98228.4,97452.7,97586.7,16423.899,8292.818,810792712.6108
2025-01-16 15:00:00,97586.7,98269.0,97293.6,97792.2,10263.383,5554.062,542705071.5711
2025-01-16 15:15:00,97792.1,98411.2,97710.0,98369.2,4049.603,2154.106,211445616.1234
2025-01-16 15:30:00,98369.2,98498.0,98004.9,98273.2,3254.474,1554.356,152762195.137
2025-01-16 15:45:00,98273.2,99274.5,98162.2,99258.3,6239.738,3818.421,377158063.2413
2025-01-16 16:00:00,99258.2,99808.1,99147.8,99366.0,8461.224,4157.854,413614507.7861
2025-01-16 16:15:00,99366.1,99696.1,99023.9,99665.7,4634.158,2204.914,219004147.7902
2025-01-16 16:30:00,99665.7,99847.1,99225.5,99275.2,3804.872,1766.465,175950603.851
2025-01-16 16:45:00,99275.3,99473.1,99126.3,99306.0,2421.682,1233.663,122522509.6131
2025-01-16 17:00:00,99305.9,99458.0,99137.0,99348.6,2103.877,1214.769,120627922.9956
2025-01-16 17:15:00,99348.6,99865.0,99214.8,99818.2,2137.475,1379.296,137352876.4324
